"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","PRT","Portugal","2019","2019",2.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","PRT","Portugal","2020","2020",2.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","PRT","Portugal","2021","2021",2.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","SVK","Slovak Republic","2018","2018",5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","SVK","Slovak Republic","2019","2019",5.1,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","SVK","Slovak Republic","2020","2020",5.1,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","SVK","Slovak Republic","2021","2021",4.9,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","ESP","Spain","2018","2018",2.7,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","ESP","Spain","2019","2019",2.6,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","ESP","Spain","2020","2020",2.6,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","ESP","Spain","2021","2021",2.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","SWE","Sweden","2018","2018",2,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","SWE","Sweden","2019","2019",2.1,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","SWE","Sweden","2020","2020",2.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","SWE","Sweden","2021","2021",1.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CHE","Switzerland","2018","2018",3.3,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CHE","Switzerland","2019","2019",3.3,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CHE","Switzerland","2020","2020",3.6,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CHE","Switzerland","2021","2021",3.1,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","TUR","Türkiye","2018","2018",9.2,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","TUR","Türkiye","2019","2019",9,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","TUR","Türkiye","2020","2020",8.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","TUR","Türkiye","2021","2021",9.1,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","GBR","United Kingdom","2018","2018",3.9,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","GBR","United Kingdom","2019","2019",4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","GBR","United Kingdom","2020","2020",3.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","GBR","United Kingdom","2021","2021",4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","USA","United States","2018","2018",5.7,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","USA","United States","2019","2019",5.6,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","USA","United States","2020","2020",5.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BRA","Brazil","2018","2018",13.1,"E","Estimated value"
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BRA","Brazil","2019","2019",13.3,"E","Estimated value"
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BRA","Brazil","2020","2020",12.2,"E","Estimated value"
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","BRA","Brazil","2021","2021",12.5,"P","Provisional value"
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CHL","Chile","2018","2018",6.6,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CHL","Chile","2019","2019",6.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CHL","Chile","2020","2020",5.6,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CHL","Chile","2021","2021",5.8,"P","Provisional value"
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CHN","China (People's Republic of)","2018","2018",6.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CHN","China (People's Republic of)","2019","2019",5.9,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CHN","China (People's Republic of)","2020","2020",5.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CHN","China (People's Republic of)","2021","2021",5.1,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","EST","Estonia","2018","2018",1.6,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","EST","Estonia","2019","2019",1.6,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","EST","Estonia","2020","2020",1.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","EST","Estonia","2021","2021",2.2,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","IND","India","2018","2018",29.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","IND","India","2019","2019",28.3,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","IND","India","2020","2020",26.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","IND","India","2021","2021",25.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","IDN","Indonesia","2018","2018",20.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","IDN","Indonesia","2019","2019",20.1,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","IDN","Indonesia","2020","2020",19.5,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","IDN","Indonesia","2021","2021",18.9,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","ISR","Israel","2018","2018",3,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","ISR","Israel","2019","2019",3,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","ISR","Israel","2020","2020",2.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","ISR","Israel","2021","2021",2.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","RUS","Russia","2018","2018",5.1,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","RUS","Russia","2019","2019",4.9,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","SVN","Slovenia","2018","2018",1.7,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","SVN","Slovenia","2019","2019",2.1,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","SVN","Slovenia","2020","2020",2.2,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","SVN","Slovenia","2021","2021",1.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","ZAF","South Africa","2018","2018",27.8,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","ZAF","South Africa","2019","2019",27.3,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","ZAF","South Africa","2020","2020",26.9,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","ZAF","South Africa","2021","2021",26.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CRI","Costa Rica","2018","2018",8.4,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CRI","Costa Rica","2019","2019",8.2,,
"MATIINFA","Infant mortality, No minimum threshold of gestation period or birthweight","RATEPTTX","Deaths per 1 000 live births","CRI","Costa Rica","2020","2020",7.9,,
