Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","Current health expenditure per capita, PPP (current international $) [SH.XPD.CHEX.PP.CD]"
2018,YR2018,Australia,AUS,50192.9573282841,5337.97600331473
2018,YR2018,Austria,AUT,56937.944282984,5904.6178030162
2018,YR2018,Belgium,BEL,52530.5620821347,5681.59971452861
2018,YR2018,Canada,CAN,49992.7622757708,5426.62285887664
2018,YR2018,Czechia,CZE,41143.8270486711,3079.39915927473
2018,YR2018,Denmark,DNK,57482.9623999067,5816.91948960156
2018,YR2018,Finland,FIN,49579.3310008278,4484.57278746361
2018,YR2018,France,FRA,46537.4740442591,5228.32611611141
2018,YR2018,Germany,DEU,55195.8405428372,6337.13853317703
2018,YR2018,Greece,GRC,29617.5483399732,2403.16226410112
2018,YR2018,Hungary,HUN,31908.863454349,2097.77888197405
2018,YR2018,Iceland,ISL,57197.7676247173,4789.1952398721
2018,YR2018,Ireland,IRL,84708.2509152739,5861.91395068315
2018,YR2018,Italy,ITA,43036.2437770367,3732.51057103607
2018,YR2018,Japan,JPN,42141.9352987759,4545.8947627293
2018,YR2018,"Korea, Rep.",KOR,43044.2917633371,3241.4402036539
2018,YR2018,Luxembourg,LUX,116498.512080919,6211.73068529118
2018,YR2018,Mexico,MEX,20448.9216192642,1100.85917605085
2018,YR2018,Netherlands,NLD,57826.6284976675,5811.2353220725
2018,YR2018,New Zealand,NZL,42507.4288120852,3891.08639748443
2018,YR2018,Norway,NOR,70253.8463693384,7019.08351512662
2018,YR2018,Poland,POL,32027.6027335558,2021.77055476519
2018,YR2018,Portugal,PRT,34928.5435337746,3285.39912620993
2018,YR2018,Slovak Republic,SVK,31369.7988265901,2092.63836530006
2018,YR2018,Spain,ESP,40716.6807627631,3674.18333878369
2018,YR2018,Sweden,SWE,53521.6306428288,5887.64356222175
2018,YR2018,Switzerland,CHE,70688.8187491194,8187.83043104996
2018,YR2018,Turkiye,TUR,27802.5477784358,1146.47651181239
2018,YR2018,United Kingdom,GBR,47202.1996061213,4607.67010243164
2018,YR2018,United States,USA,62823.3094381973,10284.5542973722
2018,YR2018,Brazil,BRA,14971.0546665932,1416.93025436354
2018,YR2018,Chile,CHL,25564.536716881,2358.52055015953
2018,YR2018,China,CHN,15497.8257403033,789.777194750625
2018,YR2018,Estonia,EST,36410.1220937377,2441.55641281184
2018,YR2018,India,IND,6590.88230124869,188.661254955464
2018,YR2018,Indonesia,IDN,11671.4323303214,334.677383274762
2018,YR2018,Israel,ISR,40231.9052581114,3054.55905557495
2018,YR2018,Russian Federation,RUS,28821.26171875,1555.92370930542
2018,YR2018,Slovenia,SVN,38971.8241162221,3236.61407777793
2018,YR2018,South Africa,ZAF,14326.6502600948,1154.71373313128
2018,YR2018,Latvia,LVA,30877.0419264806,1903.76633770711
2018,YR2018,Costa Rica,CRI,21144.4097740325,1540.55572224876
2018,YR2018,Lithuania,LTU,36376.5278839032,2369.30506868048
2018,YR2018,Colombia,COL,15161.3179744309,1156.11323318479
2018,YR2018,Peru,PER,13001.4612484879,683.638502529666
2018,YR2018,Bulgaria,BGR,23016.0668039048,1680.77810725493
2018,YR2018,Croatia,HRV,28909.4165608549,1943.07665445206
2018,YR2018,Romania,ROU,29568.1868109284,1626.59579187061
2018,YR2018,Argentina,ARG,23294.0986752419,2216.69296697896
2018,YR2018,Malta,MLT,45557.7168015171,3975.94896284455
2018,YR2018,Cyprus,CYP,40676.5703125,2795.30528936821
2019,YR2019,Australia,AUS,51909.0151023258,5389.84296258261
2019,YR2019,Austria,AUT,59704.2233778226,6098.06389820381
2019,YR2019,Belgium,BEL,55804.8189232341,5804.93433548702
2019,YR2019,Canada,CAN,49832.4053770764,5409.68660969504
2019,YR2019,Czechia,CZE,44212.7465021167,3265.21207647189
2019,YR2019,Denmark,DNK,59910.6648428991,5949.89360845899
2019,YR2019,Finland,FIN,51811.5573678339,4615.37661641085
2019,YR2019,France,FRA,50500.96075877,5452.00328818429
2019,YR2019,Germany,DEU,57397.523875469,6515.07226053786
2019,YR2019,Greece,GRC,31155.9071177411,2489.30966021139
2019,YR2019,Hungary,HUN,34645.5653834313,2110.19392424923
2019,YR2019,Iceland,ISL,59608.0478648725,4959.06053590547
2019,YR2019,Ireland,IRL,89716.1636971329,5866.96259812192
2019,YR2019,Italy,ITA,45799.7722515421,3835.73316587291
2019,YR2019,Japan,JPN,42270.9627920042,4576.2460362734
2019,YR2019,"Korea, Rep.",KOR,43410.3022035098,3497.86764562729
2019,YR2019,Luxembourg,LUX,119541.758443937,6448.32019055887
2019,YR2019,Mexico,MEX,20224.2908948817,1103.30668236077
2019,YR2019,Netherlands,NLD,60208.4221704236,6004.98367736445
2019,YR2019,New Zealand,NZL,45852.4230202271,4337.69005181966
2019,YR2019,Norway,NOR,69916.376832311,7064.004070641
2019,YR2019,Poland,POL,34976.0444451626,2178.46198897752
2019,YR2019,Portugal,PRT,37299.287767416,3444.5683487838
2019,YR2019,Slovak Republic,SVK,33453.2927620977,2222.46710868164
2019,YR2019,Spain,ESP,43108.7687037933,3826.77639185629
2019,YR2019,Sweden,SWE,56404.3002044523,5942.42835800224
2019,YR2019,Switzerland,CHE,72668.747107339,8159.70324541068
2019,YR2019,Turkiye,TUR,27708.4307949115,1170.57459131617
2019,YR2019,United Kingdom,GBR,49288.6931120351,4856.49551839181
2019,YR2019,United States,USA,65120.3946628653,10661.0283943792
2019,YR2019,Brazil,BRA,15307.9412354827,1470.81577829831
2019,YR2019,Chile,CHL,25600.1927034849,2359.20521727863
2019,YR2019,China,CHN,16655.3993635093,885.901997105503
2019,YR2019,Estonia,EST,39007.1659628423,2586.47639514706
2019,YR2019,India,IND,6897.77003776243,200.736300836427
2019,YR2019,Indonesia,IDN,12360.6917362653,359.024588273621
2019,YR2019,Israel,ISR,40937.0095634177,3144.22542469022
2019,YR2019,Russian Federation,RUS,30067.740234375,1704.56470697353
2019,YR2019,Slovenia,SVN,42088.7310657452,3478.89204135696
2019,YR2019,South Africa,ZAF,14439.6941247491,1187.40045906835
2019,YR2019,Latvia,LVA,32927.7951247193,2104.19413571729
2019,YR2019,Costa Rica,CRI,22608.2321555574,1622.4613368697
2019,YR2019,Lithuania,LTU,39957.6069742349,2697.28797506067
2019,YR2019,Colombia,COL,15872.3089831645,1275.97042861787
2019,YR2019,Peru,PER,13275.2815672205,698.80352966764
2019,YR2019,Bulgaria,BGR,25170.2159956367,1730.67291459539
2019,YR2019,Croatia,HRV,31588.0267190754,2074.76851412005
2019,YR2019,Romania,ROU,33066.609506419,1825.22822388389
2019,YR2019,Argentina,ARG,23007.8365916056,2187.828948411
2019,YR2019,Malta,MLT,49221.3412262298,4474.87281518561
2019,YR2019,Cyprus,CYP,44039.01171875,2962.64885776513
2020,YR2020,Australia,AUS,53066.4909886668,5929.98359977503
2020,YR2020,Austria,AUT,57258.6902272271,6400.89537826853
2020,YR2020,Belgium,BEL,54569.9253850181,5883.08141973941
2020,YR2020,Canada,CAN,47226.3651403334,6049.90240982382
2020,YR2020,Czechia,CZE,42827.0600062247,3846.02064653437
2020,YR2020,Denmark,DNK,60832.1582906885,6350.52094899693
2020,YR2020,Finland,FIN,52305.2893109382,4896.90850631243
2020,YR2020,France,FRA,48134.959794619,5740.38212903533
2020,YR2020,Germany,DEU,56482.4756342562,7031.94197718211
2020,YR2020,Greece,GRC,28416.5239017982,2652.95076095773
2020,YR2020,Hungary,HUN,34169.9222845578,2407.70977956239
2020,YR2020,Iceland,ISL,54303.9041694279,5099.78379035
2020,YR2020,Ireland,IRL,93942.6057474311,6657.55164658677
2020,YR2020,Italy,ITA,43144.4064185475,4031.99584882745
2020,YR2020,Japan,JPN,41683.9155842443,4627.96701567528
2020,YR2020,"Korea, Rep.",KOR,44694.7336959843,3782.11597525318
2020,YR2020,Luxembourg,LUX,120010.208308273,6843.52272944944
2020,YR2020,Mexico,MEX,18522.0021654377,1192.60284781421
2020,YR2020,Netherlands,NLD,59822.954267638,6612.77875544227
2020,YR2020,New Zealand,NZL,45554.9329391839,4510.84470277169
2020,YR2020,Norway,NOR,65130.1721871608,7168.3569259379
2020,YR2020,Poland,POL,35315.7172595773,2234.61396119824
2020,YR2020,Portugal,PRT,34955.7054882649,3605.8556777662
2020,YR2020,Slovak Republic,SVK,32922.0747645603,2268.13745267922
2020,YR2020,Spain,ESP,37988.0295324103,4047.75361097924
2020,YR2020,Sweden,SWE,56140.5523953504,6346.61633646126
2020,YR2020,Switzerland,CHE,70810.8206896136,8493.34832971241
2020,YR2020,Turkiye,TUR,27724.3886169903,1260.76063829374
2020,YR2020,United Kingdom,GBR,45872.0272893147,5577.41588737862
2020,YR2020,United States,USA,63528.6343027508,11702.4090737138
2020,YR2020,Brazil,BRA,14900.104216322,1529.43978826087
2020,YR2020,Chile,CHL,24941.2350880403,2425.63418494615
2020,YR2020,China,CHN,17209.4429539743,962.288688228079
2020,YR2020,Estonia,EST,39441.849084436,2919.38722053329
2020,YR2020,India,IND,6517.76138754341,190.738255114722
2020,YR2020,Indonesia,IDN,12160.7167616838,414.832493455337
2020,YR2020,Israel,ISR,40219.2685206562,3456.98100998538
2020,YR2020,Russian Federation,RUS,30011.57421875,2278.2323235153
2020,YR2020,Slovenia,SVN,40871.8252600524,3767.20597259848
2020,YR2020,South Africa,ZAF,13533.776252019,1156.66095445645
2020,YR2020,Latvia,LVA,33018.6241671621,2331.23114608091
2020,YR2020,Costa Rica,CRI,21693.6728159398,1737.44530571146
2020,YR2020,Lithuania,LTU,40176.4600412493,2931.82177785256
2020,YR2020,Colombia,COL,15103.0738208886,1335.85856317743
2020,YR2020,Peru,PER,11813.9884362791,753.304322364442
2020,YR2020,Bulgaria,BGR,25296.0709365879,2087.7731290536
2020,YR2020,Croatia,HRV,29690.153680402,2228.97023598529
2020,YR2020,Romania,ROU,33336.1810967036,2012.38036123643
2020,YR2020,Argentina,ARG,20787.857870615,2089.51842182646
2020,YR2020,Malta,MLT,44925.8311849825,4694.66367130946
2020,YR2020,Cyprus,CYP,41425.92578125,3218.90341895341
2021,YR2021,Australia,AUS,55947.0522280521,..
2021,YR2021,Austria,AUT,59962.8270521703,7236.66186819915
2021,YR2021,Belgium,BEL,58840.7022747126,..
2021,YR2021,Canada,CAN,53023.4205562458,5930.69815817748
2021,YR2021,Czechia,CZE,45630.0378065014,..
2021,YR2021,Denmark,DNK,64883.9020335877,7139.64148473628
2021,YR2021,Finland,FIN,54706.4459747236,..
2021,YR2021,France,FRA,51363.7203822404,..
2021,YR2021,Germany,DEU,58798.9373528813,7517.25508003458
2021,YR2021,Greece,GRC,31294.800289497,..
2021,YR2021,Hungary,HUN,36773.3140344664,..
2021,YR2021,Iceland,ISL,58195.3630924925,5614.52436421666
2021,YR2021,Ireland,IRL,106570.398435242,7305.17817411846
2021,YR2021,Italy,ITA,46705.0179059813,4397.48408690164
2021,YR2021,Japan,JPN,42833.8513340851,..
2021,YR2021,"Korea, Rep.",KOR,46875.2909815757,4289.06356680327
2021,YR2021,Luxembourg,LUX,131511.020155033,7367.00739362186
2021,YR2021,Mexico,MEX,19578.4038080309,..
2021,YR2021,Netherlands,NLD,63369.0273797153,7285.77000866023
2021,YR2021,New Zealand,NZL,48443.8730095024,..
2021,YR2021,Norway,NOR,81866.7951850507,6921.88223099401
2021,YR2021,Poland,POL,38134.8333890046,2528.51439277407
2021,YR2021,Portugal,PRT,36638.0189705342,4076.17591413917
2021,YR2021,Slovak Republic,SVK,34528.6596259314,..
2021,YR2021,Spain,ESP,40662.0098784744,..
2021,YR2021,Sweden,SWE,60126.8165037418,6932.62862505776
2021,YR2021,Switzerland,CHE,75979.7662211492,..
2021,YR2021,Turkiye,TUR,30452.0967157576,..
2021,YR2021,United Kingdom,GBR,50056.2662910326,6133.5995908011
2021,YR2021,United States,USA,70219.472454115,..
2021,YR2021,Brazil,BRA,16260.0987486322,..
2021,YR2021,Chile,CHL,28337.0732119833,2578.84598464603
2021,YR2021,China,CHN,19484.3080865205,..
2021,YR2021,Estonia,EST,43476.8542259429,3202.41238336971
2021,YR2021,India,IND,7367.99466511595,..
2021,YR2021,Indonesia,IDN,13086.3924176102,..
2021,YR2021,Israel,ISR,44064.5638015519,..
2021,YR2021,Russian Federation,RUS,34043.3046875,..
2021,YR2021,Slovenia,SVN,43974.217350566,4046.48853793687
2021,YR2021,South Africa,ZAF,14689.1537493425,..
2021,YR2021,Latvia,LVA,35018.4521137124,..
2021,YR2021,Costa Rica,CRI,22643.4950121914,..
2021,YR2021,Lithuania,LTU,43796.7840052168,3411.86668102985
2021,YR2021,Colombia,COL,17105.0024667059,..
2021,YR2021,Peru,PER,13830.5702579441,..
2021,YR2021,Bulgaria,BGR,28113.1172301145,..
2021,YR2021,Croatia,HRV,34721.872681453,..
2021,YR2021,Romania,ROU,36277.324202054,..
2021,YR2021,Argentina,ARG,23754.3613898843,..
2021,YR2021,Malta,MLT,49974.7751511882,..
2021,YR2021,Cyprus,CYP,44405.0078125,..
2022,YR2022,Australia,AUS,62625.357642365,..
2022,YR2022,Austria,AUT,67935.8479736373,..
2022,YR2022,Belgium,BEL,65027.2948954044,..
2022,YR2022,Canada,CAN,58399.5454813184,..
2022,YR2022,Czechia,CZE,49945.5001044375,..
2022,YR2022,Denmark,DNK,74005.4785197575,..
2022,YR2022,Finland,FIN,59026.7073352151,..
2022,YR2022,France,FRA,55492.5655467571,..
2022,YR2022,Germany,DEU,63149.5986898098,..
2022,YR2022,Greece,GRC,36834.8710885703,..
2022,YR2022,Hungary,HUN,41906.6555658699,..
2022,YR2022,Iceland,ISL,69081.261667188,..
2022,YR2022,Ireland,IRL,126905.198534476,..
2022,YR2022,Italy,ITA,51864.9777354821,..
2022,YR2022,Japan,JPN,45572.7238228213,..
2022,YR2022,"Korea, Rep.",KOR,50069.8233877975,..
2022,YR2022,Luxembourg,LUX,142213.851685246,..
2022,YR2022,Mexico,MEX,21512.2695445099,..
