Time,Time Code,Country Name,Country Code,Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]
2010,YR2010,Austria,AUT,4800.79345703,46903.7615854354,1.59257712849987,10.22101879
2010,YR2010,Canada,CAN,5096.12353516,47562.0834253057,1.95004833364148,10.70161057
2010,YR2010,Chile,CHL,870.70959473,12767.7820406263,4.78894269211156,6.77489376
2010,YR2010,Denmark,DNK,6171.28515625,58041.3984363385,1.41948663073603,10.60774708
2010,YR2010,Estonia,EST,926.4541626,14663.0446126465,2.67816403908816,6.32313585
2010,YR2010,France,FRA,4592.38330078,40676.0647913191,1.44824526229692,11.22560215
2010,YR2010,Germany,DEU,4611.421875,41572.4559481517,4.33960677706354,11.09592915
2010,YR2010,Iceland,ISL,3612.05151367,43237.0729488958,-2.6928477076311,8.36173058
2010,YR2010,Ireland,IRL,5133.45507813,48663.6004439262,1.13042364586033,10.5258255
2010,YR2010,Italy,ITA,3217.68286133,36035.6449950699,1.40091534299962,8.91602039
2010,YR2010,Netherlands,NLD,5191.69384766,50999.7451168891,0.824259852819907,10.15508747
2010,YR2010,Norway,NOR,7859.51611328,88163.2085931423,-0.460631256132487,8.90553188
2010,YR2010,Poland,POL,809.19940186,12504.2501856093,3.22904912851982,6.4122324
2010,YR2010,Portugal,PRT,2259.30371094,22520.642312405,1.69092841483231,10.03250504
2010,YR2010,Slovenia,SVN,2017.14660645,23532.4808545474,0.902771380289735,8.56503296
2010,YR2010,Sweden,SWE,4416.14550781,52869.0442891587,5.0526785726024,8.31963825
2010,YR2010,United States,USA,7832.26660156,48650.6431283336,1.86029167805893,16.19557953
2010,YR2010,United Kingdom,GBR,3965.86499023,39693.1938701237,1.63027404455211,9.95166206
2011,YR2011,Austria,AUT,5167.81787109,51442.2762464411,2.57644831811446,10.02613258
2011,YR2011,Canada,CAN,5437.85205078,52223.696112356,2.14153573381914,10.40782261
2011,YR2011,Chile,CHL,994.66607666,14628.5724573037,5.17603699620184,6.7717886
2011,YR2011,Denmark,DNK,6438.21240234,61753.647131977,0.920393685285319,10.40702915
2011,YR2011,Estonia,EST,1015.96826172,17487.8047830923,7.58921166461815,5.81930256
2011,YR2011,France,FRA,4931.87792969,43846.4660764801,1.70061040175906,11.18497562
2011,YR2011,Germany,DEU,5037.50878906,46705.8957963357,5.86963573749217,10.77848625
2011,YR2011,Iceland,ISL,3910.57543945,47714.5922308485,1.53514719927782,8.20293236
2011,YR2011,Ireland,IRL,5558.296875,52183.1329312158,0.395078937653736,10.6313448
2011,YR2011,Italy,ITA,3392.01269531,38649.6394836792,0.534287439584816,8.77413177
2011,YR2011,Netherlands,NLD,5562.12109375,54230.3129029856,1.07862827391094,10.23357868
2011,YR2011,Norway,NOR,8900.37207031,101221.813476644,-0.197405953019441,8.78868103
