Time,Time Code,Country Name,Country Code,Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]
2006,YR2006,Indonesia,IDN,2.61946416
2006,YR2006,Israel,ISR,6.90668821
2006,YR2006,Russian Federation,RUS,4.76654387
2006,YR2006,Slovenia,SVN,7.82322693
2006,YR2006,South Africa,ZAF,6.87650871
2006,YR2006,Latvia,LVA,5.70438385
2006,YR2006,Costa Rica,CRI,6.93530846
2006,YR2006,Lithuania,LTU,5.84418154
2006,YR2006,Colombia,COL,6.33551502
2006,YR2006,Peru,PER,4.4095645
2006,YR2006,Bulgaria,BGR,6.52544546
2006,YR2006,Croatia,HRV,6.91900873
2006,YR2006,Romania,ROU,5.07106066
2006,YR2006,Argentina,ARG,7.64032793
2006,YR2006,Malta,MLT,8.80992031
2006,YR2006,Cyprus,CYP,5.46357489
2008,YR2008,Australia,AUS,8.25374031
2008,YR2008,Austria,AUT,9.72564602
2008,YR2008,Belgium,BEL,9.5951395
2008,YR2008,Canada,CAN,9.60754967
2008,YR2008,Czechia,CZE,6.33024931
2008,YR2008,Denmark,DNK,9.51134396
2008,YR2008,Finland,FIN,8.34310627
2008,YR2008,France,FRA,10.50084686
2008,YR2008,Germany,DEU,10.25128746
2008,YR2008,Greece,GRC,8.82774162
2008,YR2008,Hungary,HUN,7.08621168
2008,YR2008,Iceland,ISL,8.34370804
2008,YR2008,Ireland,IRL,9.12564754
2008,YR2008,Italy,ITA,8.53282356
2008,YR2008,Japan,JPN,8.08909321
2008,YR2008,"Korea, Rep.",KOR,5.39896774
2008,YR2008,Luxembourg,LUX,6.23101091
2008,YR2008,Mexico,MEX,5.69886971
2008,YR2008,Netherlands,NLD,9.27660465
2008,YR2008,New Zealand,NZL,9.12382889
2008,YR2008,Norway,NOR,7.96075296
2008,YR2008,Poland,POL,6.37592173
2008,YR2008,Portugal,PRT,9.58307838
2008,YR2008,Slovak Republic,SVK,6.9563446
2008,YR2008,Spain,ESP,8.38226032
2008,YR2008,Sweden,SWE,8.20824242
2008,YR2008,Switzerland,CHE,9.48092842
2008,YR2008,Turkiye,TUR,5.21761751
2008,YR2008,United Kingdom,GBR,9.02258778
2008,YR2008,United States,USA,15.20489883
2008,YR2008,Brazil,BRA,8.01128483
2008,YR2008,Chile,CHL,6.74047947
2008,YR2008,China,CHN,3.900002
2008,YR2008,Estonia,EST,5.71727228
2008,YR2008,India,IND,3.51468062
2008,YR2008,Indonesia,IDN,2.54842305
2008,YR2008,Israel,ISR,6.94865084
2008,YR2008,Russian Federation,RUS,4.90364122
2008,YR2008,Slovenia,SVN,7.85466576
2008,YR2008,South Africa,ZAF,7.14832258
2008,YR2008,Latvia,LVA,5.58478308
2008,YR2008,Costa Rica,CRI,7.46854782
2008,YR2008,Lithuania,LTU,6.29453707
2008,YR2008,Colombia,COL,6.84192705
2008,YR2008,Peru,PER,4.51516962
2008,YR2008,Bulgaria,BGR,6.28771019
2008,YR2008,Croatia,HRV,7.67231941
2008,YR2008,Romania,ROU,5.02274227
2008,YR2008,Argentina,ARG,8.1826973
2008,YR2008,Malta,MLT,7.86335802
2008,YR2008,Cyprus,CYP,6.01427698
2010,YR2010,Australia,AUS,8.42325497
2010,YR2010,Austria,AUT,10.22101879
2010,YR2010,Belgium,BEL,10.2022934
2010,YR2010,Canada,CAN,10.70161057
2010,YR2010,Czechia,CZE,6.87530422
2010,YR2010,Denmark,DNK,10.60774708
2010,YR2010,Finland,FIN,9.14202785
2010,YR2010,France,FRA,11.22560215
2010,YR2010,Germany,DEU,11.09592915
2010,YR2010,Greece,GRC,9.59662342
2010,YR2010,Hungary,HUN,7.44544077
2010,YR2010,Iceland,ISL,8.36173058
2010,YR2010,Ireland,IRL,10.5258255
2010,YR2010,Italy,ITA,8.91602039
2010,YR2010,Japan,JPN,9.0630064
2010,YR2010,"Korea, Rep.",KOR,5.91734409
2010,YR2010,Luxembourg,LUX,6.66263008
2010,YR2010,Mexico,MEX,5.73688889
2010,YR2010,Netherlands,NLD,10.15508747
2010,YR2010,New Zealand,NZL,9.59277534
2010,YR2010,Norway,NOR,8.90553188
2010,YR2010,Poland,POL,6.4122324
2010,YR2010,Portugal,PRT,10.03250504
2010,YR2010,Slovak Republic,SVK,7.69692326
2010,YR2010,Spain,ESP,9.11891174
2010,YR2010,Sweden,SWE,8.31963825
2010,YR2010,Switzerland,CHE,9.94159698
2010,YR2010,Turkiye,TUR,5.02053452
2010,YR2010,United Kingdom,GBR,9.95166206
2010,YR2010,United States,USA,16.19557953
2010,YR2010,Brazil,BRA,7.94516611
2010,YR2010,Chile,CHL,6.77489376
2010,YR2010,China,CHN,4.23068333
2010,YR2010,Estonia,EST,6.32313585
2010,YR2010,India,IND,3.27211928
2010,YR2010,Indonesia,IDN,2.7908783
2010,YR2010,Israel,ISR,6.99706697
2010,YR2010,Russian Federation,RUS,4.97111797
2010,YR2010,Slovenia,SVN,8.56503296
2010,YR2010,South Africa,ZAF,7.79358244
2010,YR2010,Latvia,LVA,6.097435
2010,YR2010,Costa Rica,CRI,8.02937698
2010,YR2010,Lithuania,LTU,6.81462288
2010,YR2010,Colombia,COL,7.07130098
2010,YR2010,Peru,PER,4.71905422
2010,YR2010,Bulgaria,BGR,7.09571743
2010,YR2010,Croatia,HRV,8.0207386
2010,YR2010,Romania,ROU,5.76614285
2010,YR2010,Argentina,ARG,9.44546413
2010,YR2010,Malta,MLT,7.95211124
2010,YR2010,Cyprus,CYP,6.51767111
2012,YR2012,Australia,AUS,8.67481709
2012,YR2012,Austria,AUT,10.19915581
2012,YR2012,Belgium,BEL,10.4796896
2012,YR2012,Canada,CAN,10.51472855
2012,YR2012,Czechia,CZE,6.97858715
2012,YR2012,Denmark,DNK,10.5219717
2012,YR2012,Finland,FIN,9.5857954
2012,YR2012,France,FRA,11.29740047
2012,YR2012,Germany,DEU,10.85349178
2012,YR2012,Greece,GRC,8.92415524
2012,YR2012,Hungary,HUN,7.40815496
2012,YR2012,Iceland,ISL,8.18118858
2012,YR2012,Ireland,IRL,10.62784767
2012,YR2012,Italy,ITA,8.78352833
2012,YR2012,Japan,JPN,10.67169094
2012,YR2012,"Korea, Rep.",KOR,6.13262033
2012,YR2012,Luxembourg,LUX,5.29404306
2012,YR2012,Mexico,MEX,5.66522121
2012,YR2012,Netherlands,NLD,10.53898716
2012,YR2012,New Zealand,NZL,9.65163612
2012,YR2012,Norway,NOR,8.77787971
2012,YR2012,Poland,POL,6.22393656
2012,YR2012,Portugal,PRT,9.65393257
2012,YR2012,Slovak Republic,SVK,7.56544065
2012,YR2012,Spain,ESP,9.15419865
2012,YR2012,Sweden,SWE,10.7351532
2012,YR2012,Switzerland,CHE,10.24875641
2012,YR2012,Turkiye,TUR,4.44444656
2012,YR2012,United Kingdom,GBR,9.93235588
2012,YR2012,United States,USA,16.11693954
2012,YR2012,Brazil,BRA,7.73637581
2012,YR2012,Chile,CHL,7.02092028
2012,YR2012,China,CHN,4.56584787
2012,YR2012,Estonia,EST,5.83366966
2012,YR2012,India,IND,3.32935286
2012,YR2012,Indonesia,IDN,2.91427088
2012,YR2012,Israel,ISR,7.08083487
2012,YR2012,Russian Federation,RUS,4.93637609
2012,YR2012,Slovenia,SVN,8.71509933
2012,YR2012,South Africa,ZAF,8.00428867
2012,YR2012,Latvia,LVA,5.41047668
2012,YR2012,Costa Rica,CRI,7.78642273
2012,YR2012,Lithuania,LTU,6.2759347
2012,YR2012,Colombia,COL,6.74599648
2012,YR2012,Peru,PER,4.74102163
2012,YR2012,Bulgaria,BGR,7.53875399
2012,YR2012,Croatia,HRV,7.70057678
2012,YR2012,Romania,ROU,4.73353195
2012,YR2012,Argentina,ARG,9.82726669
2012,YR2012,Malta,MLT,8.37802982
2012,YR2012,Cyprus,CYP,6.55474567
2014,YR2014,Australia,AUS,9.84760189
2014,YR2014,Austria,AUT,10.36809158
2014,YR2014,Belgium,BEL,10.57526302
2014,YR2014,Canada,CAN,10.25806713
2014,YR2014,Czechia,CZE,7.59677219
2014,YR2014,Denmark,DNK,10.30918217
2014,YR2014,Finland,FIN,9.78115082
2014,YR2014,France,FRA,11.53414917
2014,YR2014,Germany,DEU,11.02219391
2014,YR2014,Greece,GRC,7.8914113
2014,YR2014,Hungary,HUN,7.04440498
2014,YR2014,Iceland,ISL,8.22888947
2014,YR2014,Ireland,IRL,9.54538631
2014,YR2014,Italy,ITA,8.86791801
2014,YR2014,Japan,JPN,10.7290144
2014,YR2014,"Korea, Rep.",KOR,6.47438097
2014,YR2014,Luxembourg,LUX,5.23040915
2014,YR2014,Mexico,MEX,5.55340958
2014,YR2014,Netherlands,NLD,10.56703758
2014,YR2014,New Zealand,NZL,9.40168381
2014,YR2014,Norway,NOR,9.34493446
2014,YR2014,Poland,POL,6.38664055
2014,YR2014,Portugal,PRT,9.3428812
2014,YR2014,Slovak Republic,SVK,6.90780544
2014,YR2014,Spain,ESP,9.08897781
2014,YR2014,Sweden,SWE,10.9479475
2014,YR2014,Switzerland,CHE,10.6164217
2014,YR2014,Turkiye,TUR,4.32517862
2014,YR2014,United Kingdom,GBR,9.82684326
2014,YR2014,United States,USA,16.19240761
2014,YR2014,Brazil,BRA,8.39644337
2014,YR2014,Chile,CHL,7.80729866
2014,YR2014,China,CHN,4.77790594
2014,YR2014,Estonia,EST,6.36199951
2014,YR2014,India,IND,3.61956549
2014,YR2014,Indonesia,IDN,2.96433568
2014,YR2014,Israel,ISR,7.12200594
2014,YR2014,Russian Federation,RUS,5.18209648
2014,YR2014,Slovenia,SVN,8.50197601
2014,YR2014,South Africa,ZAF,7.87136555
2014,YR2014,Latvia,LVA,5.46339607
2014,YR2014,Costa Rica,CRI,7.66376162
2014,YR2014,Lithuania,LTU,6.19332647
2014,YR2014,Colombia,COL,7.18553209
2014,YR2014,Peru,PER,4.97922754
2014,YR2014,Bulgaria,BGR,7.68282461
2014,YR2014,Croatia,HRV,6.62079239
2014,YR2014,Romania,ROU,5.02168465
2014,YR2014,Argentina,ARG,9.67129993
2014,YR2014,Malta,MLT,9.08505249
2014,YR2014,Cyprus,CYP,6.95228958
2016,YR2016,Australia,AUS,10.09023094
2016,YR2016,Austria,AUT,10.3522625
2016,YR2016,Belgium,BEL,10.76264191
2016,YR2016,Canada,CAN,11.03318405
2016,YR2016,Czechia,CZE,7.10654974
2016,YR2016,Denmark,DNK,10.25162029
2016,YR2016,Finland,FIN,9.37796021
2016,YR2016,France,FRA,11.48530769
2016,YR2016,Germany,DEU,11.23263836
2016,YR2016,Greece,GRC,8.44874573
2016,YR2016,Hungary,HUN,6.98634624
2016,YR2016,Iceland,ISL,8.09714794
2016,YR2016,Ireland,IRL,7.44555712
2016,YR2016,Italy,ITA,8.72533035
2016,YR2016,Japan,JPN,10.65891552
2016,YR2016,"Korea, Rep.",KOR,6.91432714
2016,YR2016,Luxembourg,LUX,5.07103872
2016,YR2016,Mexico,MEX,5.55345869
2016,YR2016,Netherlands,NLD,10.2942524
2016,YR2016,New Zealand,NZL,9.24379444
2016,YR2016,Norway,NOR,10.59129524
2016,YR2016,Poland,POL,6.53473854
2016,YR2016,Portugal,PRT,9.39439487
2016,YR2016,Slovak Republic,SVK,7.11356306
2016,YR2016,Spain,ESP,8.95201397
2016,YR2016,Sweden,SWE,10.85240364
2016,YR2016,Switzerland,CHE,11.30005455
2016,YR2016,Turkiye,TUR,4.28469229
2016,YR2016,United Kingdom,GBR,9.69526958
2016,YR2016,United States,USA,16.79314804
2016,YR2016,Brazil,BRA,9.16901493
2016,YR2016,Chile,CHL,8.51866722
2016,YR2016,China,CHN,4.97955608
2016,YR2016,Estonia,EST,6.70240974
2016,YR2016,India,IND,3.50430417
2016,YR2016,Indonesia,IDN,3.02147198
2016,YR2016,Israel,ISR,7.16409779
2016,YR2016,Russian Federation,RUS,5.28970242
2016,YR2016,Slovenia,SVN,8.4630394
2016,YR2016,South Africa,ZAF,8.07959366
2016,YR2016,Latvia,LVA,6.1332593
2016,YR2016,Costa Rica,CRI,7.31724358
2016,YR2016,Lithuania,LTU,6.63746262
2016,YR2016,Colombia,COL,7.53117037
2016,YR2016,Peru,PER,4.99025059
2016,YR2016,Bulgaria,BGR,7.45653582
2016,YR2016,Croatia,HRV,6.73855692
2016,YR2016,Romania,ROU,5.00346947
2016,YR2016,Argentina,ARG,9.00189781
2016,YR2016,Malta,MLT,8.96600914
2016,YR2016,Cyprus,CYP,6.68224382
2018,YR2018,Australia,AUS,10.07391548
2018,YR2018,Austria,AUT,10.34483242
2018,YR2018,Belgium,BEL,10.78789711
2018,YR2018,Canada,CAN,10.84608173
2018,YR2018,Czechia,CZE,7.47199488
2018,YR2018,Denmark,DNK,10.09764194
2018,YR2018,Finland,FIN,9.04490948
2018,YR2018,France,FRA,11.21255589
2018,YR2018,Germany,DEU,11.45727539
2018,YR2018,Greece,GRC,8.12024307
2018,YR2018,Hungary,HUN,6.5753026
